player_id,alias,skill,deck_name,top_8,top_16,top_32,top_64,Weighted Position
458,Katrina,-0.406,Dromai,1113,1206,2759,5919,3145.625
367,Edward,-0.92,Bravo,1129,1272,2714,5544,3136.5
262,Harry,-0.656,Katsu,1140,1243,2725,5513,3131.875
335,Judy,0.693,Boltyn,1127,1382,2485,5472,3123.25
174,Donald,1.988,Uzuri,1058,1422,2529,5756,3120.75
159,Justin,0.349,Iyslander,1123,1233,2658,5697,3116.125
473,Joan,0.683,Azalea,1120,1296,2679,5413,3114.375
237,Jean,-0.023,Iyslander,1072,1293,2744,5624,3107.5
480,Adele,0.53,Azalea,1114,1273,2672,5451,3099.875
401,Paul,-0.017,Fai,1114,1255,2651,5540,3096.75
499,Ricardo,-1.377,Dromai,1086,1173,2699,5875,3081.625
469,Ryan,0.864,Uzuri,1029,1486,2462,5508,3076
145,Tasia,0.843,Azalea,1102,1295,2569,5447,3072.625
408,Elizabeth,-0.829,Rhinar,1144,1199,2572,5428,3065
57,Michael,-0.857,Dromai,1081,1151,2752,5737,3061.625
189,Carl,0.038,Fai,1080,1215,2644,5458,3030.75
156,Terry,-1.094,Dash,1096,1127,2627,5565,3011.875
94,Howard,-0.654,Bravo,1099,1175,2529,5480,3003.75
65,Candace,0.448,Iyslander,1042,1273,2496,5534,2994.25
511,Katherine,0.669,Azalea,1071,1216,2547,5315,2980.125
215,Latasha,-0.931,Rhinar,1072,1165,2602,5167,2950.875
41,Gail,-1.212,Bravo,1059,1191,2496,5364,2949
471,Kim,-0.582,Rhinar,1089,1101,2520,5128,2910.5
299,Dominic,-1.088,Dromai,989,1096,2616,5579,2888.375
273,Charlie,-1.061,Katsu,1051,1101,2542,5192,2886
509,Joseph,-1.152,Dromai,990,1123,2566,5539,2885.375
72,Kathleen,-1.079,Dash,1014,1105,2601,5319,2881.625
360,Clayton,0.365,Dorinthea,1013,1225,2409,5188,2876.25
240,Joe,-0.637,Fai,1031,1186,2414,5165,2873.125
346,Dale,-1.196,Dash,1031,1073,2564,5261,2866.125
266,Traci,-0.909,Bravo,1015,1134,2466,5284,2859
232,Andre,-0.781,Katsu,1032,1095,2523,5149,2853.875
194,Cindi,-0.814,Dash,1008,1047,2561,5450,2853
340,Florence,-1.457,Dromai,962,1122,2592,5395,2845.375
183,Eustolia,-1.147,Dromai,963,1089,2534,5489,2827.125
221,Cynthia,-0.97,Dromai,969,1038,2556,5476,2811.5
297,Brandon,-1.023,Katsu,1007,1093,2480,5073,2807.625
38,Jackie,0.366,Dorinthea,930,1253,2331,5050,2770.5
112,Carolyn,-1.051,Dromai,965,1020,2495,5333,2765.375
268,Charles,0.596,Azalea,980,1128,2320,5046,2754.75
86,Peter,-0.331,Fai,981,1082,2351,5105,2747.875
50,Lisa,-0.805,Rhinar,977,992,2510,5099,2737.875
2,Patrice,-0.098,Iyslander,931,1091,2385,5318,2737.5
109,Jean,-0.085,Fai,1022,968,2420,4951,2729.875
411,Adam,0.148,Iyslander,977,1083,2294,5047,2722.875
